Year,Month,DomesticPassengers,InternationalPassengers,TotalPassengers,DomesticFlights,InternationalFlights,TotalFlights
2019,Jan,"58,034,262","18,690,817","76,725,079","667,659","135,773","803,432"
2019,Feb,"55,679,481","16,280,536","71,960,017","608,029","119,724","727,753"
2019,Mar,"70,234,684","20,295,947","90,530,631","729,251","140,966","870,217"
2019,Apr,"66,938,654","20,019,304","86,957,958","709,126","141,759","850,885"
2019,May,"71,365,660","20,995,113","92,360,773","740,639","139,760","880,399"
2019,Jun,"72,790,418","22,747,453","95,537,871","741,605","144,559","886,164"
2019,Jul,"75,281,916","23,907,859","99,189,775","768,825","151,106","919,931"
2019,Aug,"72,729,540","23,239,338","95,968,878","769,850","147,707","917,557"
2019,Sep,"63,991,365","18,842,310","82,833,675","705,233","123,258","828,491"
2019,Oct,"69,936,836","18,973,444","88,910,280","740,347","126,977","867,324"
2019,Nov,"64,827,417","17,575,113","82,402,530","694,547","120,443","814,990"
2019,Dec,"69,737,526","19,859,635","89,597,161","721,601","131,526","853,127"
