DATE,2019,2020,2021
1/1,"2,126,398","2,311,732","805,990"
1/2,"2,345,103","2,178,656","1,192,881"
1/3,"2,202,111","2,422,272","1,327,289"
1/4,"2,150,571","2,210,542","1,080,346"
1/5,"1,975,947","1,806,480","766,594"
1/6,"2,229,391","1,815,040","665,855"
1/7,"2,044,043","2,034,472","771,734"
1/8,"1,733,739","2,072,543","772,471"
1/9,"1,739,642","1,687,974","709,444"
1/10,"1,955,200","2,183,734","886,536"
1/11,"1,959,788","1,992,453","708,177"
1/12,"1,604,862","1,691,205","520,117"
1/13,"1,970,450","1,876,782","567,401"
1/14,"1,886,642","2,242,656","803,688"
1/15,"1,605,758","2,347,075","903,039"
1/16,"1,786,012","1,781,893","690,438"
1/17,"2,139,242","2,000,260","810,654"
1/18,"2,271,398","2,298,616","878,048"
1/19,"1,600,698","1,870,459","560,190"
1/20,"1,776,235","1,801,444","542,338"
1/21,"2,179,066","2,100,401","728,978"
1/22,"1,804,629","2,145,063","755,028"
1/23,"1,763,884","1,645,196","603,527"
1/24,"1,991,328","2,136,584","838,116"
1/25,"2,052,814","2,004,609","701,709"
1/26,"1,571,077","1,643,435","468,933"
1/27,"2,010,374","1,777,171","536,935"
1/28,"1,862,420","2,085,468","750,558"
1/29,"1,534,386","2,159,047","774,688"
1/30,"1,593,697","1,658,886","617,489"
1/31,"1,938,817","1,948,138","859,039"
2/1,"2,078,169","2,054,725","628,989"
2/2,"1,591,591","1,677,798","493,338"
2/3,"1,792,677","1,843,877","618,615"
2/4,"2,001,482","2,167,857","778,065"
2/5,"1,655,868","2,271,551","868,624"
2/6,"1,756,152","1,770,241","705,951"
2/7,"2,064,640","2,224,826","854,636"
2/8,"2,134,744","2,164,951","864,783"
2/9,"1,648,328","1,814,047","617,619"
2/10,"2,105,696","2,038,375","735,009"
2/11,"2,055,827","2,415,185","1,034,514"
2/12,"1,620,239","2,507,588","1,151,420"
2/13,"1,950,385","1,972,248","900,696"
2/14,"2,227,730","2,198,657","946,458"
2/15,"1,922,613","2,494,922","967,693"
2/16,"2,147,045","2,190,300","738,825"
2/17,"2,476,445","2,129,862","773,422"
2/18,"2,177,690","2,358,511","914,823"
2/19,"2,022,861","2,429,489","1,059,452"
2/20,"2,351,856","1,951,535","942,238"
2/21,"2,415,570","2,380,359","1,115,479"
2/22,"2,331,841","2,267,382","963,280"
2/23,"2,274,217","1,919,803","714,725"
